"parent","code","name"
"170","1709","Manufacture of other articles of paper and paperboard"
"C","18","Printing and reproduction of recorded media"
"18","181","Printing and service activities related to printing"
"181","1811","Printing"
"181","1812","Service activities related to printing"
"18","182","Reproduction of recorded media"
"182","1820","Reproduction of recorded media"
"C","19","Manufacture of coke and refined petroleum products"
"19","191","Manufacture of coke oven products"
"191","1910","Manufacture of coke oven products"
"19","192","Manufacture of refined petroleum products; manufacture of fossil fuel products"
"192","1920","Manufacture of refined petroleum products; manufacture of fossil fuel products"
"C","20","Manufacture of chemicals and chemical products"
"20","201","Manufacture of basic chemicals, fertilizers and nitrogen compounds, plastics and synthetic rubber in primary forms"
"201","2011","Manufacture of basic chemicals"
"201","2012","Manufacture of fertilizers and nitrogen compounds"
"201","2013","Manufacture of plastics and synthetic rubber in primary forms"
"20","202","Manufacture of other chemical products"
"202","2021","Manufacture of pesticides and other agrochemical products"
"202","2022","Manufacture of paints, varnishes and similar coatings, printing ink and mastics"
"202","2023","Manufacture of soap and detergents, cleaning and polishing preparations, perfumes and toilet preparations"
"202","2029","Manufacture of other chemical products n.e.c."
"20","203","Manufacture of man-made fibres"
"203","2030","Manufacture of man-made fibres"
"C","21","Manufacture of basic pharmaceutical products and pharmaceutical preparations"
"21","210","Manufacture of pharmaceuticals, medicinal chemical and botanical products"
"210","2100","Manufacture of pharmaceuticals, medicinal chemical and botanical products"
"C","22","Manufacture of rubber and plastic products"
"22","221","Manufacture of rubber products"
"221","2211","Manufacture of rubber tyres and tubes; retreading and rebuilding of rubber tyres"
"221","2219","Manufacture of other rubber products"
"22","222","Manufacture of plastics products"
"222","2220","Manufacture of plastics products"
"C","23","Manufacture of other non-metallic mineral products"
"23","231","Manufacture of glass and glass products"
"231","2310","Manufacture of glass and glass products"
"23","239","Manufacture of non-metallic mineral products n.e.c."
"239","2391","Manufacture of refractory products"
"239","2392","Manufacture of clay building materials"
"239","2393","Manufacture of other porcelain and ceramic products"
"239","2394","Manufacture of cement, lime and plaster"
"239","2395","Manufacture of articles of concrete, cement and plaster"
"239","2396","Cutting, shaping and finishing of stone"
"239","2399","Manufacture of other non-metallic mineral products n.e.c."
"C","24","Manufacture of basic metals"
"24","241","Manufacture of basic iron and steel"
"241","2410","Manufacture of basic iron and steel"
"24","242","Manufacture of basic precious and other non-ferrous metals"
"242","2420","Manufacture of basic precious and other non-ferrous metals"
"24","243","Casting of metals"
"243","2431","Casting of iron and steel"
"243","2432","Casting of non-ferrous metals"
"C","25","Manufacture of fabricated metal products, except machinery and equipment"
"25","251","Manufacture of structural metal products, tanks, reservoirs and steam generators"
"251","2511","Manufacture of structural metal products"
"251","2512","Manufacture of tanks, reservoirs and containers of metal"
"251","2513","Manufacture of steam generators, except central heating hot water boilers"
"25","252","Manufacture of weapons and ammunition"
"252","2520","Manufacture of weapons and ammunition"
"25","259","Manufacture of other fabricated metal products; metalworking service activities"
"259","2591","Forging, pressing, stamping and roll-forming of metal; powder metallurgy"
"259","2592","Treatment and coating of metals; machining"
"259","2593","Manufacture of cutlery, hand tools and general hardware"
"259","2599","Manufacture of other fabricated metal products n.e.c."
"C","26","Manufacture of computer, electronic and optical products"
"26","261","Manufacture of electronic components and boards"
"261","2611","Manufacture of solar cells, solar panels and photovoltaic inverters"
"261","2619","Manufacture of other electronic components and boards"
"26","262","Manufacture of computers and peripheral equipment"
"262","2620","Manufacture of computers and peripheral equipment"
"26","263","Manufacture of communication equipment"
"263","2630","Manufacture of communication equipment"
"26","264","Manufacture of consumer electronics"
"264","2640","Manufacture of consumer electronics"
"26","265","Manufacture of measuring, testing, navigating and control equipment; watches and clocks"
"265","2651","Manufacture of measuring, testing, navigating and control equipment"
"265","2652","Manufacture of watches and clocks"
"26","266","Manufacture of irradiation, electromedical and electrotherapeutic equipment"
"266","2660","Manufacture of irradiation, electromedical and electrotherapeutic equipment"
"26","267","Manufacture of optical instruments and photographic equipment"
"267","2670","Manufacture of optical instruments and photographic equipment"
"26","268","Manufacture of magnetic and optical media"
"268","2680","Manufacture of magnetic and optical media"
"C","27","Manufacture of electrical equipment"
"27","271","Manufacture of electric motors, generators, transformers and electricity distribution and control apparatus"
"271","2710","Manufacture of electric motors, generators, transformers and electricity distribution and control apparatus"
"27","272","Manufacture of batteries and accumulators"
"272","2720","Manufacture of batteries and accumulators"
"27","273","Manufacture of wiring and wiring devices"
"273","2731","Manufacture of fibre optic cables"
"273","2732","Manufacture of other electronic and electric wires and cables"
"273","2733","Manufacture of wiring devices"
"27","274","Manufacture of lighting equipment"
"274","2740","Manufacture of lighting equipment"
"27","275","Manufacture of domestic appliances"
"275","2750","Manufacture of domestic appliances"
"27","279","Manufacture of other electrical equipment"
"279","2790","Manufacture of other electrical equipment"
"C","28","Manufacture of machinery and equipment n.e.c."
"28","281","Manufacture of general-purpose machinery"
"281","2811","Manufacture of engines and turbines, except aircraft, vehicle and cycle engines"
"281","2812","Manufacture of fluid power equipment"
"281","2813","Manufacture of other pumps, compressors, taps and valves"
"281","2814","Manufacture of bearings, gears, gearing and driving elements"
"281","2815","Manufacture of ovens, furnaces and permanent household heating equipment"
"281","2816","Manufacture of lifting and handling equipment"
"281","2817","Manufacture of office machinery and equipment (except computers and peripheral equipment)"
"281","2818","Manufacture of power-driven hand tools"
"281","2819","Manufacture of other general-purpose machinery"
"28","282","Manufacture of special-purpose machinery"
"282","2821","Manufacture of agricultural and forestry machinery"
"282","2822","Manufacture of metal-forming machinery and machine tools"
"282","2823","Manufacture of machinery for metallurgy"
"282","2824","Manufacture of machinery for mining, quarrying and construction"
"282","2825","Manufacture of machinery for food, beverage and tobacco processing"
"282","2826","Manufacture of machinery for textile, apparel and leather production"
"282","2829","Manufacture of other special-purpose machinery"
"C","29","Manufacture of motor vehicles, trailers and semi-trailers"
"29","291","Manufacture of motor vehicles"
"291","2910","Manufacture of motor vehicles"
"29","292","Manufacture of bodies (coachwork) for motor vehicles; manufacture of trailers and semi-trailers"
"292","2920","Manufacture of bodies (coachwork) for motor vehicles; manufacture of trailers and semi-trailers"
"29","293","Manufacture of parts and accessories for motor vehicles"
"293","2930","Manufacture of parts and accessories for motor vehicles"
"C","30","Manufacture of other transport equipment"
"30","301","Building of ships and boats"
"301","3011","Building of ships and floating structures"
"301","3012","Building of pleasure and sporting boats"
"30","302","Manufacture of railway locomotives and rolling stock"
"302","3020","Manufacture of railway locomotives and rolling stock"
"30","303","Manufacture of air and spacecraft and related machinery"
"303","3030","Manufacture of air and spacecraft and related machinery"
"30","304","Manufacture of military fighting vehicles"
"304","3040","Manufacture of military fighting vehicles"
"30","309","Manufacture of transport equipment n.e.c."
"309","3091","Manufacture of motorcycles"
"309","3092","Manufacture of bicycles and invalid carriages"
"309","3099","Manufacture of other transport equipment n.e.c."
"C","31","Manufacture of furniture"
"31","310","Manufacture of furniture"
"310","3101","Manufacture of wooden furniture"
"310","3102","Manufacture of other furniture"
"C","32","Other manufacturing"
"32","321","Manufacture of jewellery, bijouterie and related articles"
"321","3211","Manufacture of jewellery and related articles"
"321","3212","Manufacture of imitation jewellery and related articles"
"32","322","Manufacture of musical instruments"
"322","3220","Manufacture of musical instruments"
"32","323","Manufacture of sports goods"
"323","3230","Manufacture of sports goods"
"32","324","Manufacture of games and toys"
"324","3240","Manufacture of games and toys"
"32","325","Manufacture of medical and dental instruments and supplies"
"325","3250","Manufacture of medical and dental instruments and supplies"
"32","329","Other manufacturing n.e.c."
"329","3290","Other manufacturing n.e.c."
"C","33","Repair, maintenance and installation of machinery and equipment"
"33","331","Repair and maintenance of fabricated metal products, machinery and equipment"
"331","3311","Repair and maintenance of fabricated metal products"
"331","3312","Repair and maintenance of machinery"
"331","3313","Repair and maintenance of electronic and optical equipment"
"331","3314","Repair and maintenance of electrical equipment"
"331","3315","Repair and maintenance of transport equipment, except motor vehicles"
"331","3319","Repair and maintenance of other equipment"
"33","332","Installation of industrial machinery and equipment"
"332","3320","Installation of industrial machinery and equipment"
"","D","Electricity, gas, steam and air conditioning supply"
"D","35","Electricity, gas, steam and air conditioning supply"
"35","351","Electric power generation, transmission and distribution activities"
"351","3511","Electric power generation activities from non-renewable sources"
"351","3512","Electric power generation activities from renewable sources"
"351","3513","Electric power transmission and distribution activities"
"35","352","Manufacture of gas; distribution of gaseous fuels through mains"
"352","3520","Manufacture of gas; distribution of gaseous fuels through mains"
"35","353","Steam and air conditioning supply"
"353","3530","Steam and air conditioning supply"
"35","354","Activities of brokers and agents for electric power and natural gas"
"354","3540","Activities of brokers and agents for electric power and natural gas"
"","E","Water supply; sewerage, waste management and remediation activities"
"E","36","Water collection, treatment and supply"
"36","360","Water collection, treatment and supply"
"360","3600","Water collection, treatment and supply"
"E","37","Sewerage"
"37","370","Sewerage"
"370","3700","Sewerage"
"E","38","Waste collection, treatment and disposal, and recovery activities"
"38","381","Waste collection activities"
"381","3811","Collection of non-hazardous waste"
"381","3812","Collection of hazardous waste"
"38","382","Waste treatment and disposal"
"382","3821","Treatment and disposal of non-hazardous waste"
"382","3822","Treatment and disposal of hazardous waste"
"38","383","Materials and other waste recovery"
"383","3830","Materials and other waste recovery"
"E","39","Remediation and other waste management service activities"
"39","390","Remediation and other waste management service activities"
"390","3900","Remediation and other waste management service activities"
"","F","Construction"
"F","41","Construction of residential and non-residential buildings"
"41","410","Construction of residential and non-residential buildings"
"410","4100","Construction of residential and non-residential buildings"
"F","42","Civil engineering"
"42","421","Construction of roads and railways"
"421","4210","Construction of roads and railways"
"42","422","Construction of utility projects"
"422","4220","Construction of utility projects"
"42","429","Construction of other civil engineering projects"
"429","4290","Construction of other civil engineering projects"
"F","43","Specialized construction activities"
"43","431","Demolition and site preparation"
"431","4311","Demolition"
"431","4312","Site preparation"
"43","432","Electrical, plumbing and other construction installation activities"
"432","4321","Electrical installation"
"432","4322","Plumbing, heat and air-conditioning installation"
"432","4329","Other construction installation"
"43","433","Building completion and finishing"
"433","4330","Building completion and finishing"
"43","434","Intermediation service activities for specialized construction services"
"434","4340","Intermediation service activities for specialized construction services"
"43","439","Other specialized construction activities"
"439","4390","Other specialized construction activities"
"","G","Wholesale and retail trade"
"G","46","Wholesale trade"
"46","461","Wholesale on a fee or contract basis"
"461","4610","Wholesale on a fee or contract basis"
"46","462","Wholesale of agricultural raw materials and live animals"
"462","4620","Wholesale of agricultural raw materials and live animals"
"46","463","Wholesale of food, beverages and tobacco"
"463","4630","Wholesale of food, beverages and tobacco"
"46","464","Wholesale of household goods"
"464","4641","Wholesale of textiles, clothing and footwear"
"464","4642","Wholesale of household, office and shop furniture, carpets and lighting equipment"
"464","4649","Wholesale of other household goods"
"46","465","Wholesale of machinery, equipment and supplies"
"465","4651","Wholesale of computers, computer peripheral equipment and software"
"465","4652","Wholesale of electronic and telecommunications equipment and parts"
"465","4653","Wholesale of agricultural machinery, equipment and supplies"
"465","4659","Wholesale of other machinery and equipment"
"46","466","Wholesale of motor vehicles, motorcycles and related parts and accessories"
"466","4661","Wholesale of motor vehicles"
"466","4662","Wholesale of motor vehicle parts and accessories"
"466","4663","Wholesale of motorcycles, motorcycle parts and accessories"
"46","467","Other specialized wholesale"
"467","4671","Wholesale of solid, liquid and gaseous fuels and related products"
"467","4672","Wholesale of metals and metal ores"
"467","4673","Wholesale of construction materials, hardware, plumbing and heating equipment and supplies"
"467","4679","Wholesale of chemicals, waste and scrap and other products n.e.c."
"46","469","Non-specialized wholesale trade"
"469","4690","Non-specialized wholesale trade"
"G","47","Retail trade"
"47","471","Non-specialized retail sale"
"471","4711","Non-specialized retail sale with food, beverages or tobacco predominating"
"471","4719","Other non-specialized retail sale"
"47","472","Retail sale of food, beverages and tobacco"
"472","4721","Retail sale of food"
"472","4722","Retail sale of beverages"
"472","4723","Retail sale of tobacco products"
"47","473","Retail sale of automotive fuel"
"473","4730","Retail sale of automotive fuel"
"47","474","Retail sale of information and communication equipment"
"474","4740","Retail sale of information and communication equipment"
"47","475","Retail sale of other household equipment"
"475","4751","Retail sale of textiles"
"475","4752","Retail sale of hardware, building materials, paints and glass"
"475","4753","Retail sale of carpets, rugs, wall and floor coverings"
"475","4759","Retail sale of electrical household appliances, furniture, lighting equipment and other household articles"
"47","476","Retail sale of cultural and recreational goods"
"476","4761","Retail sale of books, newspapers, stationery and office supplies"
"476","4762","Retail sale of sporting equipment"
"476","4763","Retail sale of games and toys"
"476","4769","Retail sale of cultural and recreational goods n.e.c."
"47","477","Retail sale of other goods, except motor vehicles and motorcycles"
"477","4771","Retail sale of clothing, footwear and leather articles"
"477","4772","Retail sale of pharmaceutical and medical goods, cosmetic and toilet articles"
"477","4773","Retail sale of other new goods n.e.c."
"477","4774","Retail sale of second-hand goods"
"47","478","Retail sale of motor vehicles, motorcycles and related parts and accessories"
"478","4781","Retail sale of motor vehicles"
"478","4782","Retail sale of motor vehicle parts and accessories"
"478","4783","Retail sale of motorcycles, motorcycles parts and accessories"
"47","479","Intermediation service activities for retail sale"
"479","4790","Intermediation service activities for retail sale"
"","H","Transportation and storage"
"H","49","Land transport and transport via pipelines"
"49","491","Transport via railways"
"491","4911","Passenger rail transport, interurban"
"491","4912","Freight rail transport"
"49","492","Other land transport"
"492","4921","Urban and suburban passenger land transport"
"492","4922","Other passenger land transport"
"492","4923","Freight transport by road"
"49","493","Transport via pipeline"
"493","4930","Transport via pipeline"
"H","50","Water transport"
"50","501","Sea and coastal water transport"
"501","5011","Sea and coastal passenger water transport"
"501","5012","Sea and coastal freight water transport"
"50","502","Inland water transport"
"502","5021","Inland passenger water transport"
"502","5022","Inland freight water transport"
"H","51","Air transport"
"51","511","Passenger air transport"
"511","5110","Passenger air transport"
"51","512","Freight air transport"
"512","5120","Freight air transport"
"H","52","Warehousing and support activities for transportation"
"52","521","Warehousing and storage"
"521","5210","Warehousing and storage"
"52","522","Support activities for transportation"
"522","5221","Service activities incidental to land transportation"
"522","5222","Service activities incidental to water transportation"
"522","5223","Service activities incidental to air transportation"
"522","5224","Cargo handling"
"522","5229","Other support activities for transportation"
"52","523","Intermediation service activities for transportation"
"523","5231","Intermediation service activities for freight transportation"
"523","5232","Intermediation service activities for passenger transportation"
"H","53","Postal and courier activities"
"53","531","Postal activities"
"531","5310","Postal activities"
"53","532","Courier activities"
"532","5320","Courier activities"
"53","533","Intermediation service activities for postal and courier activities"
"533","5330","Intermediation service activities for postal and courier activities"
"","I","Accommodation and food service activities"
"I","55","Accommodation"
"55","551","Hotels and similar accommodation activities"
"551","5510","Hotels and similar accommodation activities"
"55","552","Other short term accommodation activities"
"552","5520","Other short term accommodation activities"
"55","553","Camping grounds, recreational vehicle parks and trailer parks"
"553","5530","Camping grounds, recreational vehicle parks and trailer parks"
"55","554","Intermediation service activities for accommodation"
"554","5540","Intermediation service activities for accommodation"
"55","559","Other accommodation n.e.c."
"559","5590","Other accommodation n.e.c."
"I","56","Food and beverage service activities"
"56","561","Restaurants and mobile food service activities"
"561","5610","Restaurants and mobile food service activities"
"56","562","Event catering and other food service activities"
"562","5621","Event catering activities"
"562","5629","Other food service activities"
"56","563","Beverage serving activities"
"563","5630","Beverage serving activities"
"56","564","Intermediation service activities for food and beverage services activities"
"564","5640","Intermediation service activities for food and beverage services activities"
"","J","Publishing, broadcasting, and content production and distribution activities"
"J","58","Publishing activities"
"58","581","Publishing of books, newspapers, periodicals and other publishing activities"
"581","5811","Publishing of books"
"581","5812","Publishing of newspapers"
"581","5813","Publishing of journals and periodicals"
"581","5819","Other publishing activities"
"58","582","Software publishing"
"582","5821","Publishing of video games"
"582","5829","Other software publishing"
"J","59","Motion picture, video and television programme production, sound recording and music publishing activities"
"59","591","Motion picture, video and television programme activities"
"591","5911","Motion picture, video and television programme production activities"
"591","5912","Motion picture, video and television programme post-production activities"
"591","5913","Motion picture, video and television programme distribution activities"
"591","5914","Motion picture projection activities"
"59","592","Sound recording and music publishing activities"
"592","5920","Sound recording and music publishing activities"
"J","60","Programming, broadcasting, news agency and other content distribution activities"
"60","601","Radio broadcasting and audio distribution activities"
"601","6010","Radio broadcasting and audio distribution activities"
"60","602","Television programming, broadcasting and video distribution activities"
"602","6020","Television programming, broadcasting and video distribution activities"
"60","603","News agency and other content distribution activities"
"603","6031","News agency activities"
"603","6039","Social network sites and other content distribution activities"
"","K","Telecommunications, computer programming, consultancy, computing infrastructure, and other information service activities"
"K","61","Telecommunications"
"61","611","Wired, wireless, and satellite telecommunication activities"
"611","6110","Wired, wireless, and satellite telecommunication activities"
"61","612","Telecommunication reselling activities and intermediation service activities for telecommunication"
"612","6120","Telecommunication reselling activities and intermediation service activities for telecommunication"
"61","619","Other telecommunication activities"
"619","6190","Other telecommunication activities"
"K","62","Computer programming, consultancy and related activities"
"62","621","Computer programming activities"
"621","6211","Development of video games, video game software, and video game software tools"
"621","6219","Other computer programming activities"
"62","622","Computer consultancy and computer facilities management activities"
"622","6220","Computer consultancy and computer facilities management activities"
"62","629","Other information technology and computer service activities"
"629","6290","Other information technology and computer service activities"
"K","63","Computing infrastructure, data processing, hosting, and other information service activities"
"63","631","Computing infrastructure, data processing, hosting and related activities"
"631","6310","Computing infrastructure, data processing, hosting and related activities"
"63","639","Web search portals activities and other information service activities"
"639","6390","Web search portals activities and other information service activities"
"","L","Financial and insurance activities"
"L","64","Financial service activities, except insurance and pension funding"
"64","641","Monetary intermediation"
"641","6411","Central banking"
"641","6419","Other monetary intermediation"
"64","642","Activities of holding companies and financing conduits"
"642","6421","Activities of holding companies"
"642","6422","Activities of financing conduits"
"64","643","Activities of trusts, funds and similar financial entities"
"643","6431","Activities of money market funds"
"643","6432","Activities of non-money market investments funds"
"643","6433","Activities of trust, estate and agency accounts"
"64","649","Other financial service activities, except insurance and pension funding activities"
"649","6491","Financial leasing activities"
"649","6492","International trade financing activities"
"649","6493","Factoring activities"
"649","6494","Securitisation activities"
"649","6495","Other credit granting activities"
"649","6499","Other financial service activities n.e.c., except insurance and pension funding activities"
"L","65","Insurance, reinsurance and pension funding, except compulsory social security"
"65","651","Insurance"
"651","6511","Life insurance"
"651","6512","Non-life insurance"
"65","652","Reinsurance"
"652","6520","Reinsurance"
"65","653","Pension funding"
"653","6530","Pension funding"
"L","66","Activities auxiliary to financial service and insurance activities"
"66","661","Activities auxiliary to financial services, except insurance and pension funding"
"661","6611","Administration of financial markets"
"661","6612","Security and commodity contracts brokerage"
"661","6619","Other activities auxiliary to financial service activities, except insurance and pension funding"
"66","662","Activities auxiliary to insurance and pension funding"
"662","6621","Risk and damage evaluation"
"662","6622","Activities of insurance agents and brokers"
"662","6629","Other activities auxiliary to insurance and pension funding"
"66","663","Fund management activities"
"663","6630","Fund management activities"
"","M","Real estate activities"
"M","68","Real estate activities"
"68","681","Real estate activities with own or leased property"
"681","6810","Real estate activities with own or leased property"
"68","682","Real estate activities on a fee or contract basis"
"682","6821","Intermediation service activities for real estate"
"682","6829","Other real estate activities on a fee or contract basis"
"","N","Professional, scientific and technical activities"
"N","69","Legal and accounting activities"
"69","691","Legal activities"
"691","6910","Legal activities"
"69","692","Accounting, bookkeeping and auditing activities; tax consultancy"
"692","6920","Accounting, bookkeeping and auditing activities; tax consultancy"
"N","70","Activities of head offices; management consultancy activities"
"70","701","Activities of head offices"
"701","7010","Activities of head offices"
"70","702","Business and other management consultancy activities"
"702","7020","Business and other management consultancy activities"
"N","71","Architectural and engineering activities; technical testing and analysis"
"71","711","Architectural and engineering, and related technical consultancy activities"
"711","7110","Architectural and engineering, and related technical consultancy activities"
"71","712","Technical testing and analysis"
"712","7120","Technical testing and analysis"
"N","72","Scientific research and development"
"72","721","Research and experimental development on natural sciences and engineering"
"721","7210","Research and experimental development on natural sciences and engineering"
"72","722","Research and experimental development on social sciences and humanities"
"722","7220","Research and experimental development on social sciences and humanities"
"N","73","Activities of advertising, market research and public relations"
"73","731","Advertising activities"
"731","7310","Advertising activities"
"73","732","Market research and public opinion polling activities"
"732","7320","Market research and public opinion polling activities"
"73","733","Public relations activities"
"733","7330","Public relations activities"
"N","74","Other professional, scientific and technical activities"
"74","741","Specialized design activities"
"741","7410","Specialized design activities"
"74","742","Photographic activities"
"742","7420","Photographic activities"
"74","743","Translation and interpretation activities"
"743","7430","Translation and interpretation activities"
"74","749","Other professional, scientific and technical activities n.e.c."
"749","7491","Patent brokering and marketing service activities"
"749","7499","All other professional, scientific and technical activities n.e.c."
"N","75","Veterinary activities"
"75","750","Veterinary activities"
"750","7500","Veterinary activities"
"","O","Administrative and support service activities"
"O","77","Rental and leasing activities"
"77","771","Rental and leasing of motor vehicles"
"771","7710","Rental and leasing of motor vehicles"
"77","772","Rental and leasing of personal and household goods"
"772","7721","Rental and leasing of recreational and sports goods"
"772","7729","Rental and leasing of other personal and household goods"
"77","773","Rental and leasing of other machinery, equipment and tangible goods"
"773","7730","Rental and leasing of other machinery, equipment and tangible goods"
"77","774","Leasing of intellectual property and similar products, except copyrighted works"
"774","7740","Leasing of intellectual property and similar products, except copyrighted works"
"77","775","Intermediation service activities for rental and leasing of tangible goods and non-financial intangible assets"
"775","7751","Intermediation service activities for rental and leasing of cars, motorhomes and trailers"
"775","7752","Intermediation service activities for rental and leasing of other tangible goods and non-financial intangible assets"
"O","78","Employment activities"
"78","781","Activities of employment placement agencies"
"781","7810","Activities of employment placement agencies"
"78","782","Temporary employment agency activities and other human resource provisions"
"782","7820","Temporary employment agency activities and other human resource provisions"
"O","79","Travel agency, tour operator, and other travel related activities"
"79","791","Travel agency and tour operator activities"
